"","location_id","year_id","sex_id","smoking","sdi","smoking_logit","ls_id","smoking_se","smoking_logit_se"
"1",10,1990,2,0.0237060928225974,0.264201284845459,-3.71803157926066,"102",0.0905164447071276,1.26976384188176
"2",10,1990,1,0.283392493831439,0.264201284845459,-0.927695438735741,"101",0.0905164447071276,1.26976384188176
"3",10,1991,2,0.0233709673007771,0.269285444374339,-3.73261234112887,"102",0.0905164447071276,1.26976384188176
"4",10,1991,1,0.279965850653043,0.269285444374339,-0.944631006756034,"101",0.0905164447071276,1.26976384188176
"5",10,1992,2,0.0230955663375548,0.274935679455883,-3.74474816548346,"102",0.0905164447071276,1.26976384188176
"6",10,1992,1,0.277015984830766,0.274935679455883,-0.959311901388856,"101",0.0905164447071276,1.26976384188176
"7",10,1993,2,0.0228894010503714,0.280684744313454,-3.75392588105538,"102",0.0905164447071276,1.26976384188176
"8",10,1993,1,0.274705886728229,0.280684744313454,-0.970876223535843,"101",0.0905164447071276,1.26976384188176
"9",10,1994,2,0.0227614413659695,0.285807245724394,-3.75966286072604,"102",0.0905164447071276,1.26976384188176
"10",10,1994,1,0.273198682914965,0.285807245724394,-0.978453841960668,"101",0.0905164447071276,1.26976384188176
"11",10,1995,2,0.0227207208590039,0.29140519316414,-3.76149514367352,"102",0.0905164447071276,1.26976384188176
"12",10,1995,1,0.272655026844943,0.29140519316414,-0.981193522827391,"101",0.0905164447071276,1.26976384188176
"13",10,1996,2,0.0227570513777527,0.297098470794377,-3.75986024107332,"102",0.0905164447071276,1.26976384188176
"14",10,1996,1,0.272818269489156,0.297098470794377,-0.980370525492716,"101",0.0905164447071276,1.26976384188176
"15",10,1997,2,0.0228752973201378,0.302971510451943,-3.75455667358112,"102",0.0905164447071276,1.26976384188176
"16",10,1997,1,0.273452506270765,0.302971510451943,-0.977175899088443,"101",0.0905164447071276,1.26976384188176
"17",10,1998,2,0.0230423097698145,0.309048284961258,-3.74711126407284,"102",0.0905164447071276,1.26976384188176
"18",10,1998,1,0.274380340401036,0.309048284961258,-0.97251074518304,"101",0.0905164447071276,1.26976384188176
"19",10,1999,2,0.0232248719544753,0.316469937163715,-3.73903268836139,"102",0.0905164447071276,1.26976384188176
"20",10,1999,1,0.275435435916173,0.316469937163715,-0.96721762442103,"101",0.0905164447071276,1.26976384188176
"21",10,2000,2,0.0233883764835507,0.324076586129755,-3.73184988610102,"102",0.0905164447071276,1.26976384188176
"22",10,2000,1,0.276428551067355,0.324076586129755,-0.962246913016935,"101",0.0905164447071276,1.26976384188176
"23",10,2001,2,0.0235504567567009,0.332238174192224,-3.72477786249259,"102",0.0905164447071276,1.26976384188176
"24",10,2001,1,0.277637092728452,0.332238174192224,-0.956212815215988,"101",0.0905164447071276,1.26976384188176
"25",10,2002,2,0.0237661778703312,0.340138539638949,-3.71543865749959,"102",0.0905164447071276,1.26976384188176
"26",10,2002,1,0.279427160359885,0.340138539638949,-0.947304854601133,"101",0.0905164447071276,1.26976384188176
"27",10,2003,2,0.0239910876496969,0.347419557684488,-3.70578930442593,"102",0.0905164447071276,1.26976384188176
"28",10,2003,1,0.281383616694159,0.347419557684488,-0.937608751059875,"101",0.0905164447071276,1.26976384188176
"29",10,2004,2,0.0241802815750749,0.355317453640723,-3.69774036454622,"102",0.0905164447071276,1.26976384188176
"30",10,2004,1,0.283098202261912,0.355317453640723,-0.92914502660082,"101",0.0905164447071276,1.26976384188176
"31",10,2005,2,0.0242890752402461,0.36375328662056,-3.69313968822921,"102",0.0905164447071276,1.26976384188176
"32",10,2005,1,0.284131163848575,0.36375328662056,-0.924060984365632,"101",0.0905164447071276,1.26976384188176
"33",10,2006,2,0.0243056736579658,0.372633568612714,-3.69243954017517,"102",0.0905164447071276,1.26976384188176
"34",10,2006,1,0.284430939122114,0.372633568612714,-0.92258763612036,"101",0.0905164447071276,1.26976384188176
"35",10,2007,2,0.0242798162718078,0.381741412168394,-3.69353044920417,"102",0.0905164447071276,1.26976384188176
"36",10,2007,1,0.284422362279307,0.381741412168394,-0.922629776942675,"101",0.0905164447071276,1.26976384188176
"37",10,2008,2,0.0242120300886785,0.390302878141646,-3.69639569812262,"102",0.0905164447071276,1.26976384188176
"38",10,2008,1,0.284097291984451,0.390302878141646,-0.924227518162911,"101",0.0905164447071276,1.26976384188176
"39",10,2009,2,0.0241026327684723,0.397770625966508,-3.70103634632364,"102",0.0905164447071276,1.26976384188176
"40",10,2009,1,0.283444066550384,0.397770625966508,-0.927441501466027,"101",0.0905164447071276,1.26976384188176
"41",10,2010,2,0.0239499650048864,0.404864223088824,-3.7075469877809,"102",0.0905164447071276,1.26976384188176
"42",10,2010,1,0.282425832298314,0.404864223088824,-0.932460336330826,"101",0.0905164447071276,1.26976384188176
"43",10,2011,2,0.0236789400975124,0.411858757061885,-3.71920543751896,"102",0.0905164447071276,1.26976384188176
"44",10,2011,1,0.28034381462689,0.411858757061885,-0.942756818359005,"101",0.0905164447071276,1.26976384188176
"45",10,2012,2,0.0232714442104325,0.418837310943713,-3.73698174045957,"102",0.0905164447071276,1.26976384188176
"46",10,2012,1,0.276993622126988,0.418837310943713,-0.959423562411034,"101",0.0905164447071276,1.26976384188176
"47",10,2013,2,0.0227959729222021,0.425984255466265,-3.7581115662716,"102",0.0905164447071276,1.26976384188176
"48",10,2013,1,0.272926767634041,0.425984255466265,-0.979823695963543,"101",0.0905164447071276,1.26976384188176
"49",10,2014,2,0.0223194608004037,0.433097320718057,-3.77972399010557,"102",0.0905164447071276,1.26976384188176
